Município,PIB per capita string,PIB per Capita
Paulínia,"457 517,7","457517,7"
Louveira,"385 773,53","385773,53"
Ilhabela,"385 605,85","385605,85"
Cajamar,"287 384,67","287384,67"
Gavião Peixoto,"244 615,79","244615,79"
Jaguariúna,"233 328,91","233328,91"
Alumínio,"210 670,96","210670,96"
Barueri,"207 460,98","207460,98"
Araçariguama,"206 250,44","206250,44"
Queiroz,"194 914,13","194914,13"
São Sebastião,"174 696,31","174696,31"
Cubatão,"165 607,5","165607,5"
Cordeirópolis,"163 554,17","163554,17"
Vinhedo,"154 054,53","154054,53"
Santa Gertrudes,"139 885,74","139885,74"
Jundiaí,"135 081,2","135081,2"
Itupeva,"130 938,58","130938,58"
Narandiba,"129 106,16","129106,16"
Osasco,"122 765,64","122765,64"
Ipeúna,"121 154,37","121154,37"
Rosana,"121 065,75","121065,75"
Ilha Comprida,"118 036,8","118036,8"
Cássia dos Coqueiros,"117 809,94","117809,94"
Cabreúva,"116 591,7","116591,7"
Sebastianópolis do Sul,"116 133,14","116133,14"
Ariranha,"115 410,74","115410,74"
Nuporanga,"115 407,02","115407,02"
Boraceia,"105 669,34","105669,34"
Meridiano,"103 289,4","103289,4"
Pedregulho,"102 593,26","102593,26"
Luiz Antônio,"99 603,69","99603,69"
Jarinu,"96 153,71","96153,71"
São Caetano do Sul,"95 640,71","95640,71"
Holambra,"93 777,73","93777,73"
Jaci,"92 434,87","92434,87"
Patrocínio Paulista,"91 078,82","91078,82"
Dourado,"90 318,49","90318,49"
Arujá,"89 703,63","89703,63"
Estrela d'Oeste,"89 460,5","89460,5"
Borá,"88 432,72","88432,72"
Orindiúva,"87 570,54","87570,54"
Indaiatuba,"87 525,86","87525,86"
Pompeia,"87 425,49","87425,49"
Lins,"85 642,71","85642,71"
Iracemápolis,"85 178,34","85178,34"
Corumbataí,"84 731,24","84731,24"
Piracicaba,"84 225,76","84225,76"
Suzanápolis,"84 169,56","84169,56"
Colina,"82 881,19","82881,19"
Pindamonhangaba,"79 951,7","79951,7"
Santana de Parnaíba,"79 579,96","79579,96"
Santo Antônio de Posse,"78 794,3","78794,3"
Hortolândia,"77 357,5","77357,5"
Salto,"77 029,01","77029,01"
Guaimbê,"76 293,81","76293,81"
Sandovalina,"72 374,52","72374,52"
Lençóis Paulista,"70 818,58","70818,58"
Amparo,"70 437,56","70437,56"
Agudos,"70 209,74","70209,74"
Itapuí,"70 205,57","70205,57"
Monte Mor,"69 972,02","69972,02"
Porto Feliz,"69 921,89","69921,89"
Cosmorama,"69 530,67","69530,67"
Bento de Abreu,"69 504,55","69504,55"
Avaí,"68 793,46","68793,46"
São Bernardo do Campo,"68 571,36","68571,36"
Itirapina,"68 413,96","68413,96"
Cruzália,"68 116,76","68116,76"
Jacareí,"67 874,93","67874,93"
Parapuã,"67 842,13","67842,13"
Mogi Mirim,"67 095,62","67095,62"
São Paulo,"66 872,84","66872,84"
Ribeirão Corrente,"66 664,82","66664,82"
Mendonça,"66 474,78","66474,78"
Itatiba,"66 360,02","66360,02"
Guaíra,"65 519,59","65519,59"
Florínea,"65 354,84","65354,84"
Nova Odessa,"65 145,09","65145,09"
Pederneiras,"64 521,62","64521,62"
Castilho,"64 508,48","64508,48"
Sorocaba,"64 046,61","64046,61"
Guaratinguetá,63 948,63948
Matão,"63 716,37","63716,37"
Rio Claro,"63 209,08","63209,08"
Itapira,"62 845,44","62845,44"
Cotia,"62 486,58","62486,58"
Americana,"62 271,47","62271,47"
Jumirim,"61 724,71","61724,71"
Cajati,"61 714,65","61714,65"
Taquarivaí,"61 548,88","61548,88"
São José dos Campos,"61 315,88","61315,88"
Descalvado,"61 036,51","61036,51"
Itajobi,"61 001,88","61001,88"
Colômbia,"59 974,07","59974,07"
Valinhos,"59 842,76","59842,76"
Campinas,"59 634,21","59634,21"
Itu,"59 502,19","59502,19"
Itaju,"58 993,27","58993,27"
Tarumã,"58 396,99","58396,99"
Itaberá,"58 380,87","58380,87"
Santa Cruz do Rio Pardo,"57 811,23","57811,23"
Orlândia,"57 728,08","57728,08"
Atibaia,"57 512,36","57512,36"
Quatá,"57 387,58","57387,58"
Angatuba,"57 306,48","57306,48"
Pedrinhas Paulista,"56 819,68","56819,68"
Mairinque,"56 474,15","56474,15"
Cedral,"56 401,2","56401,2"
Pardinho,"55 976,73","55976,73"
Sumaré,"55 816,79","55816,79"
Elias Fausto,"55 521,14","55521,14"
Santos,"55 508,46","55508,46"
Ribeirão Preto,"55 484,91","55484,91"
Sertãozinho,"55 352,42","55352,42"
Bom Jesus dos Perdões,"55 196,42","55196,42"
Guarulhos,"55 084,22","55084,22"
São Carlos,"55 044,88","55044,88"
Iacanga,"54 825,02","54825,02"
Caçapava,"54 458,95","54458,95"
Buritizal,"53 769,11","53769,11"
Jeriquara,"53 750,36","53750,36"
Boituva,"53 597,04","53597,04"
Vargem Grande Paulista,"53 359,16","53359,16"
Iepê,"52 789,96","52789,96"
Itapevi,"52 656,14","52656,14"
Bebedouro,"52 575,43","52575,43"
Capivari,"52 495,21","52495,21"
Óleo,"52 419,92","52419,92"
Rifaina,"52 357,63","52357,63"
Jambeiro,"51 684,83","51684,83"
Limeira,"51 678,31","51678,31"
Nova Independência,"51 548,89","51548,89"
Altinópolis,"51 377,61","51377,61"
Promissão,"51 330,11","51330,11"
Embu das Artes,"51 258,86","51258,86"
Ouroeste,"51 226,69","51226,69"
Iguape,"51 053,14","51053,14"
Bastos,"50 936,28","50936,28"
Araras,"50 772,4","50772,4"
Guararema,"50 771,09","50771,09"
Iacri,"50 533,65","50533,65"
Taubaté,"50 495,56","50495,56"
Tanabi,"50 458,24","50458,24"
Tietê,"50 258,52","50258,52"
Andradina,"49 703,65","49703,65"
Araraquara,"49 692,93","49692,93"
Ribeirão do Sul,"49 451,73","49451,73"
Rio das Pedras,"49 338,49","49338,49"
Pradópolis,"49 306,42","49306,42"
Pontes Gestal,"49 170,31","49170,31"
Cravinhos,"48 891,09","48891,09"
Suzano,"48 818,92","48818,92"
Laranjal Paulista,"48 579,92","48579,92"
Rafard,"48 529,75","48529,75"
Cândido Mota,"48 339,61","48339,61"
Salto de Pirapora,"47 995,61","47995,61"
Regente Feijó,"47 932,82","47932,82"
Barretos,"47 783,95","47783,95"
Monte Alto,"47 713,32","47713,32"
Nova Castilho,"47 027,11","47027,11"
Cerqueira César,"46 928,25","46928,25"
Zacarias,"46 763,19","46763,19"
Caieiras,"46 700,03","46700,03"
Fernão,"46 552,1","46552,1"
Rancharia,"46 459,21","46459,21"
Vista Alegre do Alto,"46 388,5","46388,5"
Espírito Santo do Pinhal,"46 311,65","46311,65"
Cerquilho,"46 293,89","46293,89"
Bragança Paulista,"46 153,09","46153,09"
Jaboticabal,"46 151,86","46151,86"
Onda Verde,"46 086,02","46086,02"
Olímpia,"45 985,63","45985,63"
Paranapanema,"45 907,58","45907,58"
Santa Clara d'Oeste,"45 847,14","45847,14"
Valparaíso,"45 529,09","45529,09"
Nova Aliança,"45 514,97","45514,97"
Morungaba,"45 445,18","45445,18"
Bariri,"45 290,86","45290,86"
Araçatuba,"45 268,6","45268,6"
Brotas,"45 209,02","45209,02"
Miguelópolis,"45 201,82","45201,82"
Ituverava,"45 131,05","45131,05"
Santo André,"45 062,56","45062,56"
São João da Boa Vista,"44 794,34","44794,34"
São José do Rio Preto,"44 679,93","44679,93"
Divinolândia,"44 568,55","44568,55"
Mogi Guaçu,"44 538,21","44538,21"
Saltinho,"44 465,92","44465,92"
Nantes,"44 261,55","44261,55"
Turmalina,"44 206,07","44206,07"
Mococa,"44 065,5","44065,5"
Porto Ferreira,"43 904,33","43904,33"
Bauru,"43 806,93","43806,93"
Mirassol,"43 778,54","43778,54"
Oscar Bressane,"43 366,02","43366,02"
Lorena,"43 299,19","43299,19"
Mauá,"43 128,78","43128,78"
Pilar do Sul,"43 096,72","43096,72"
Diadema,"43 031,91","43031,91"
Mogi das Cruzes,"43 031,34","43031,34"
São José do Rio Pardo,"42 952,13","42952,13"
Mirassolândia,"42 951,06","42951,06"
Mesópolis,"42 887,61","42887,61"
Pirassununga,"42 833,73","42833,73"
Pirapora do Bom Jesus,"42 495,88","42495,88"
Taquarituba,"42 424,52","42424,52"
Catanduva,"42 386,42","42386,42"
Pereira Barreto,"42 339,32","42339,32"
Igarapava,"42 208,35","42208,35"
Paraíso,"42 122,5","42122,5"
Barra Bonita,"41 955,79","41955,79"
Registro,"41 751,4","41751,4"
São Joaquim da Barra,"41 547,41","41547,41"
Águas de São Pedro,"41 208,23","41208,23"
Quintana,41 016,41016
Santa Fé do Sul,"41 007,46","41007,46"
Tatuí,"40 892,85","40892,85"
Analândia,"40 726,1","40726,1"
Uru,"40 623,52","40623,52"
