Rank,Município,IDH,IDH Renda,IDH Longevidade,IDH Educação
1º,São Caetano do Sul,"0,862","0,891","0,887","0,811"
2º,Águas de São Pedro,"0,854","0,849","0,89","0,825"
3º,Santos,"0,84","0,861","0,852","0,807"
4º,Jundiaí,"0,822","0,834","0,866","0,768"
5º,Valinhos,"0,819","0,848","0,85","0,763"
6º,Vinhedo,"0,817","0,84","0,878","0,739"
7º,Araraquara,"0,815","0,788","0,877","0,782"
7º,Santo André,"0,815","0,819","0,861","0,769"
9º,Santana de Parnaíba,"0,814","0,876","0,849","0,725"
10º,Ilha Solteira,"0,812","0,786","0,871","0,782"
11º,Americana,"0,811","0,8","0,876","0,76"
12º,São José dos Campos,"0,807","0,804","0,855","0,764"
13º,Presidente Prudente,"0,806","0,788","0,858","0,774"
14º,São Bernardo do Campo,"0,805","0,807","0,861","0,752"
15º,São Paulo,"0,805","0,843","0,855","0,725"
16º,Assis,"0,805","0,771","0,865","0,781"
17º,Campinas,"0,805","0,829","0,86","0,731"
18º,São Carlos,"0,805","0,788","0,863","0,766"
19º,Rio Claro,"0,803","0,784","0,862","0,766"
20º,Bauru,"0,801","0,8","0,854","0,752"
21º,Pirassununga,"0,801","0,789","0,884","0,736"
22º,Taubaté,"0,8","0,778","0,883","0,746"
22º,Ribeirão Preto,"0,8","0,82","0,844","0,739"
22º,Botucatu,"0,8","0,79","0,869","0,746"
25º,Marília,"0,798","0,768","0,854","0,776"
25º,Sorocaba,"0,798","0,792","0,843","0,762"
25º,Guaratinguetá,"0,798","0,764","0,886","0,751"
28º,Fernandópolis,"0,797","0,767","0,872","0,758"
28º,São João da Boa Vista,"0,797","0,776","0,871","0,749"
28º,São José do Rio Preto,"0,797","0,801","0,846","0,748"
31º,Paulínia,"0,795","0,8","0,864","0,727"
32º,Holambra,"0,793","0,815","0,878","0,698"
33º,Nova Odessa,"0,791","0,755","0,861","0,762"
33º,Saltinho,"0,791","0,771","0,857","0,75"
35º,Votuporanga,"0,79","0,772","0,857","0,744"
35º,Santa Cruz da Conceição,"0,79","0,83","0,876","0,679"
35º,Adamantina,"0,79","0,772","0,852","0,75"
38º,Barretos,"0,789","0,762","0,875","0,738"
38º,Cândido Rodrigues,"0,789","0,747","0,863","0,762"
40º,Barra Bonita,"0,788","0,762","0,869","0,739"
40º,Cruzeiro,"0,788","0,742","0,871","0,758"
40º,Caçapava,"0,788","0,754","0,858","0,755"
40º,Mairiporã,"0,788","0,767","0,881","0,723"
40º,Indaiatuba,"0,788","0,791","0,837","0,738"
40º,Araçatuba,"0,788","0,782","0,841","0,744"
46º,Espírito Santo do Pinhal,"0,787","0,784","0,872","0,712"
47º,Pompeia,"0,786","0,75","0,864","0,748"
47º,Lins,"0,786","0,762","0,869","0,733"
47º,Barueri,"0,786","0,791","0,866","0,708"
50º,Piracicaba,"0,785","0,797","0,848","0,717"
50º,Tremembé,"0,785","0,769","0,873","0,72"
50º,Amparo,"0,785","0,78","0,871","0,711"
50º,Catanduva,"0,785","0,767","0,853","0,74"
50º,Monte Aprazível,"0,785","0,781","0,861","0,72"
55º,Arujá,"0,784","0,761","0,866","0,73"
55º,Mogi Mirim,"0,784","0,767","0,879","0,715"
55º,Santa Fé do Sul,"0,784","0,763","0,84","0,751"
55º,Ribeirão Pires,"0,784","0,749","0,847","0,76"
55º,Jaguariúna,"0,784","0,782","0,862","0,715"
60º,Mogi das Cruzes,"0,783","0,762","0,851","0,74"
61º,Cerquilho,"0,782","0,758","0,854","0,739"
62º,Águas da Prata,"0,781","0,75","0,886","0,716"
62º,Araras,"0,781","0,763","0,859","0,728"
62º,Caieiras,"0,781","0,74","0,861","0,749"
62º,Santa Bárbara d'Oeste,"0,781","0,752","0,867","0,731"
66º,Franca,"0,78","0,749","0,842","0,753"
66º,Bebedouro,"0,78","0,756","0,853","0,735"
66º,Cotia,"0,78","0,789","0,851","0,707"
66º,Birigui,"0,78","0,743","0,869","0,734"
66º,Boituva,"0,78","0,757","0,861","0,728"
66º,Orlândia,"0,78","0,765","0,882","0,703"
66º,Salto,"0,78","0,755","0,837","0,751"
73º,Andradina,"0,779","0,762","0,885","0,702"
73º,Piratininga,"0,779","0,762","0,859","0,723"
75º,Tietê,"0,778","0,764","0,884","0,698"
75º,Ourinhos,"0,778","0,753","0,859","0,727"
75º,Itatiba,"0,778","0,788","0,844","0,708"
75º,Jaboticabal,"0,778","0,778","0,851","0,71"
75º,Jaú,"0,778","0,768","0,886","0,693"
80º,Louveira,"0,777","0,783","0,861","0,697"
80º,José Bonifácio,"0,777","0,752","0,869","0,717"
80º,Jacareí,"0,777","0,749","0,837","0,749"
83º,Iracemápolis,"0,776","0,742","0,863","0,729"
83º,Bragança Paulista,"0,776","0,772","0,861","0,704"
83º,Osasco,"0,776","0,776","0,84","0,718"
83º,Dracena,"0,776","0,752","0,842","0,737"
83º,Araçoiaba da Serra,"0,776","0,751","0,86","0,723"
83º,Pirapozinho,"0,776","0,74","0,863","0,733"
83º,Jales,"0,776","0,75","0,855","0,73"
90º,Santa Rita do Passa Quatro,"0,775","0,764","0,887","0,686"
90º,Limeira,"0,775","0,761","0,852","0,719"
92º,São José do Rio Pardo,"0,774","0,744","0,868","0,717"
92º,Pedrinhas Paulista,"0,774","0,749","0,837","0,739"
92º,Cruzália,"0,774","0,698","0,853","0,778"
92º,Mogi Guaçu,"0,774","0,74","0,852","0,736"
96º,Olímpia,"0,773","0,737","0,867","0,736"
96º,Pindamonhangaba,"0,773","0,745","0,843","0,736"
96º,Auriflama,"0,773","0,746","0,84","0,738"
96º,Matão,"0,773","0,766","0,847","0,713"
96º,Sebastianópolis do Sul,"0,773","0,748","0,835","0,74"
96º,Itu,"0,773","0,782","0,854","0,692"
96º,Santana da Ponte Pensa,"0,773","0,751","0,84","0,733"
103º,Monções,"0,772","0,731","0,814","0,773"
103º,Sales Oliveira,"0,772","0,738","0,845","0,739"
103º,Santa Salete,"0,772","0,712","0,864","0,748"
103º,São Sebastião,"0,772","0,747","0,875","0,703"
107º,Poá,"0,771","0,71","0,856","0,754"
107º,Maracaí,"0,771","0,711","0,85","0,758"
107º,Tupã,"0,771","0,764","0,852","0,704"
110º,Vargem Grande Paulista,"0,77","0,755","0,884","0,683"
110º,Santa Rosa de Viterbo,"0,77","0,746","0,868","0,704"
110º,Macatuba,"0,77","0,763","0,859","0,697"
110º,Oriente,"0,77","0,717","0,837","0,761"
110º,Ouroeste,"0,77","0,717","0,866","0,736"
115º,Campo Limpo Paulista,"0,769","0,733","0,84","0,739"
115º,Tupi Paulista,"0,769","0,762","0,835","0,715"
115º,Garça,"0,769","0,737","0,849","0,728"
115º,Cosmópolis,"0,769","0,746","0,876","0,697"
115º,Pedreira,"0,769","0,75","0,864","0,701"
115º,Taboão da Serra,"0,769","0,742","0,863","0,71"
121º,Monte Alto,"0,768","0,746","0,859","0,707"
121º,São Vicente,"0,768","0,738","0,857","0,716"
121º,Regente Feijó,"0,768","0,735","0,818","0,752"
121º,São Roque,"0,768","0,765","0,863","0,687"
121º,Igarapava,"0,768","0,809","0,835","0,671"
121º,Bilac,"0,768","0,743","0,845","0,722"
127º,Orindiúva,"0,767","0,719","0,824","0,762"
127º,Serra Negra,"0,767","0,764","0,873","0,676"
127º,Votorantim,"0,767","0,72","0,838","0,747"
127º,Avaré,"0,767","0,751","0,866","0,695"
131º,Mauá,"0,766","0,721","0,852","0,733"
131º,Lorena,"0,766","0,736","0,856","0,713"
131º,Alumínio,"0,766","0,729","0,841","0,732"
131º,Poloni,"0,766","0,736","0,853","0,717"
