ibge_code,nome_norm,pib_per_capita,idh,saneamento
3500105,adamantina,38997.12,0.75,98.94
3500204,adolfo,32578.28,0.648,100.0
3500303,aguai,35551.7,0.606,37.23
3500402,aguas da prata,25297.02,0.716,93.76
3500501,aguas de lindoia,30971.23,0.675,82.22
3500550,aguas de santa barbara,35378.64,0.695,73.48
3500600,aguas de sao pedro,41208.23,0.825,98.73
3500709,agudos,70209.74,0.694,100.0
3500758,alambari,20765.46,0.658,67.62
3500808,alfredo marcondes,28649.11,0.71,100.0
3500907,altair,26662.17,0.581,97.86
3501004,altinopolis,51377.61,0.635,80.48
3501103,alto alegre,27853.08,0.616,100.0
3501152,aluminio,210670.96,0.732,63.57
3501202,alvares florence,34389.1,0.683,97.5
3501301,alvares machado,28306.72,0.732,99.46
3501400,alvaro de carvalho,11012.49,0.605,100.0
3501509,alvinlandia,17965.24,0.659,99.99
3501608,americana,62271.47,0.76,63.15
3501707,americo brasiliense,29617.13,0.701,0.0
3501806,americo de campos,21158.4,0.708,77.62
3501905,amparo,70437.56,0.711,45.23
3502002,analandia,40726.1,0.668,100.0
3502101,andradina,49703.65,0.702,95.33
3502200,angatuba,57306.48,0.648,79.17
3502309,anhembi,24534.54,0.637,100.0
3502408,anhumas,25316.58,0.706,99.49
3502507,aparecida,28750.03,0.706,0.0
3502606,aparecida d oeste,36763.62,0.67,97.51
3502705,apiai,37278.88,0.647,70.84
3502754,aracariguama,206250.44,0.597,63.46
3502804,aracatuba,45268.6,0.744,99.62
3502903,aracoiaba da serra,34075.1,0.723,24.01
3503000,aramina,26415.31,0.656,68.0
3503109,arandu,30569.27,0.592,100.0
3503158,arapei,18584.03,0.612,84.31
3503208,araraquara,49692.93,0.782,100.0
3503307,araras,50772.4,0.728,100.0
3503356,arco iris,35382.28,0.694,100.0
3503406,arealva,26206.9,0.683,93.49
3503505,areias,14877.99,0.672,0.0
3503604,areiopolis,14577.19,0.594,99.07
3503703,ariranha,115410.74,0.663,100.0
3503802,artur nogueira,30610.29,0.681,22.49
3503901,aruja,89703.63,0.73,50.72
3503950,aspasia,21788.35,0.657,100.0
3504008,assis,38598.78,0.781,98.66
3504107,atibaia,57512.36,0.67,51.68
3504206,auriflama,23409.76,0.738,98.67
